Copia csv recuperato al link https://bit.ly/3rncK55 su segnalazione di Wired Italia https://bit.ly/3cvH3lI,,,,,,
Nome Istituto,Codice Istituto,Nome Scuola,Codice scuola,Soggetto Scolastico,Settimana,Casi
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.40,1
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.43,1
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.44,2
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.46,3
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.47,1
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.48,1
Abbé J.M.Trèves,AOIP014000,infanzia  Antey-St-André,AO1A014030,Studente,2020.44,1
Abbé J.M.Trèves,AOIP014000,primaria   Saint-Vincent Capoluogo,AO1E014010,Studente,2020.43,1
Abbé J.M.Trèves,AOIP014000,primaria   Saint-Vincent Capoluogo,AO1E014010,Studente,2020.44,1
Abbé J.M.Trèves,AOIP014000,primaria   Saint-Vincent Capoluogo,AO1E014010,Studente,2020.45,2
Abbé J.M.Trèves,AOIP014000,primaria   Saint-Vincent Capoluogo,AO1E014010,Studente,2020.46,1
Abbé J.M.Trèves,AOIP014000,primaria  Antey-St-André,AO1E014030,Studente,2020.44,1
Abbé J.M.Trèves,AOIP014000,primaria  Antey-St-André,AO1E014030,Studente,2020.46,1
Abbé J.M.Trèves,AOIP014000,primaria  Saint-Vincent Moron,AO1E014020,Studente,2020.46,2
Abbé J.M.Trèves,AOIP014000,primaria  Valtournenche Capoluogo,AO1E014050,Studente,2020.45,1
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Saint- Vincent,AO1M014010,Studente,2020.44,1
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Saint- Vincent,AO1M014010,Studente,2020.45,1
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Saint- Vincent,AO1M014010,Studente,2020.46,2
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Valtournenche,AO1M014020,Studente,2020.46,1
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Valtournenche,AO1M014020,Studente,2020.47,1
Abbé Prosper Duc,AOIP013000,Abbé Prosper Duc,-,Altro,2020.42,1
Abbé Prosper Duc,AOIP013000,Abbé Prosper Duc,-,Docente,2020.46,3
Abbé Prosper Duc,AOIP013000,Abbé Prosper Duc,-,Docente,2020.49,1
Abbé Prosper Duc,AOIP013000,infanzia Chambave,AO1A013010,Studente,2020.44,1
Abbé Prosper Duc,AOIP013000,infanzia Verrayes Champagnet,AO1A013060,Studente,2020.43,1
Abbé Prosper Duc,AOIP013000,primaria  Pontey,AO1E013040,Studente,2020.49,1
Abbé Prosper Duc,AOIP013000,primaria  Verrayes,AO1E013050,Studente,2020.43,1
Abbé Prosper Duc,AOIP013000,primaria  Verrayes,AO1E013050,Studente,2020.45,2
Abbé Prosper Duc,AOIP013000,secondaria di primo grado Châtillon,AO1M013010,Studente,2020.41,1
Abbé Prosper Duc,AOIP013000,secondaria di primo grado Châtillon,AO1M013010,Studente,2020.45,1
Abbé Prosper Duc,AOIP013000,primaria Châtillon capoluogo,AO1E013010,Studente,2020.40,1
Abbé Prosper Duc,AOIP013000,primaria Châtillon capoluogo,AO1E013010,Studente,2020.42,1
Abbé Prosper Duc,AOIP013000,primaria Châtillon capoluogo,AO1E013010,Studente,2020.44,1
