Data,Regione/PA,Provincia,Città,Nome scuola,Tipo scuola,Codice MG,Positivi,Categoria,Isolamento,Chiusura scuola,Contatti positivi,Primo Caso,Fonte,Note,Aggiornamento
2021-01-26,Lazio,Roma,Roma,NA,primaria,NA,1,studenti,classe,no,NA,NA,https://www.icardea1.edu.it/circolari-20-21/1200-comunicazione-della-asl-roma-6-riguardo-caso-di-covid-19-classe-2d-scuola-secondaria-virgilio,,
2021-01-27,Veneto,Rovigo,Badia Polesine,G.Pascoli,infanzia,NA,NA,studenti,NA,si,NA,NA,https://www.polesine24.it/24/2021/01/27/news/rilevate-varie-positivita-chiude-la-scuola-materna-107605/,,
2021-01-27,Friuli Venezia Giulia,Udine,Gonars,NA,media,NA,3,studenti,classe,no,60,NA,https://www.ilfriuli.it/articolo/cronaca/focolaio-covid-nella-scuola-media-di-gonars-60-alunni-a-casa/2/235469,,
2021-01-27,Campania,Napoli,Napoli,NA,infanzia,NA,3,studenti,classe,no,NA,NA,https://www.ilmattino.it/napoli/cronaca/covid_a_napoli_scuole-5728400.html,,
2021-01-27,Campania,Napoli,Napoli,NA,primaria,NA,3,studenti,classe,no,NA,NA,https://www.ilmattino.it/napoli/cronaca/covid_a_napoli_scuole-5728400.html,,
2021-01-27,Campania,Napoli,Napoli,NA,infanzia,NA,1,docenti,classe,no,NA,NA,https://www.ilmattino.it/napoli/cronaca/covid_a_napoli_scuole-5728400.html,,
2021-01-27,Campania,Napoli,Napoli,NA,primaria,NA,1,studenti,classe,no,NA,NA,https://www.ilmattino.it/napoli/cronaca/covid_a_napoli_scuole-5728400.html,,
2021-01-27,Campania,Napoli,Napoli,NA,superiore,NA,1,studenti,classe,no,NA,NA,https://www.ilmattino.it/napoli/cronaca/covid_a_napoli_scuole-5728400.html,,
2021-01-28,Lazio,Latina,Giulianello,NA,primaria,NA,1,studenti,classe,no,NA,NA,https://www.istitutocomprensivocori.edu.it/avviso-urgente-15/,,
2021-01-28,Sicilia,Siracusa,Chindemi,NA,NA,NA,7,studenti,NA,si,NA,NA,https://www.siracusaoggi.it/focolaio-alla-chindemi-scuola-chiusa-oggi-e-domani-in-quarantena-una-sezione-infanzia/,,
